group,ood_dataset,method,AUROC,FPR@95
near,CIFAR-10,MSP,0.71853166,0.8671
near,CIFAR-10,MaxLogit,0.7180533650000002,0.8664
near,CIFAR-10,Energy,0.715890235,0.8679
near,CIFAR-10,Mahalanobis,0.660060175,0.937
near,CIFAR-10,ViM,0.563224,0.9474
near,CIFAR-10,NECO,0.715619265,0.8677
near,Tiny ImageNet,MSP,0.746493015,0.8394
near,Tiny ImageNet,MaxLogit,0.74852517,0.835
near,Tiny ImageNet,Energy,0.74852299,0.8372
near,Tiny ImageNet,Mahalanobis,0.6788218600000001,0.9394
near,Tiny ImageNet,ViM,0.562695215,0.9509
near,Tiny ImageNet,NECO,0.7483096550000001,0.8376
far,MNIST,MSP,0.6235195450000001,0.972
far,MNIST,MaxLogit,0.624925895,0.9734
far,MNIST,Energy,0.6213757799999999,0.9752
far,MNIST,Mahalanobis,0.72766013,0.8318
far,MNIST,ViM,0.733442925,0.8255
far,MNIST,NECO,0.621035035,0.9748
far,SVHN,MSP,0.6432253699999999,0.9394
far,SVHN,MaxLogit,0.64987932,0.9402
far,SVHN,Energy,0.64727443,0.9525
far,SVHN,Mahalanobis,0.67290125,0.8751
far,SVHN,ViM,0.7135317699999999,0.8479
far,SVHN,NECO,0.6521772450000001,0.9426
far,Textures,MSP,0.6318800928021729,0.9340425531914893
far,Textures,MaxLogit,0.6259277387958352,0.9276595744680851
far,Textures,Energy,0.6197619114984156,0.9308510638297872
far,Textures,Mahalanobis,0.7149148370303304,0.8
far,Textures,ViM,0.6982149728383885,0.7787234042553192
far,Textures,NECO,0.6242438603440471,0.9281914893617021
