group,ood_dataset,method,AUROC,FPR@95
near,CIFAR-10,MSP,0.789317915,0.7896
near,CIFAR-10,MaxLogit,0.797122865,0.7879
near,CIFAR-10,Energy,0.7957374749999999,0.7923
near,CIFAR-10,Mahalanobis,0.578261865,0.9507
near,CIFAR-10,ViM,0.70567065,0.8837
near,CIFAR-10,NECO,0.795626265,0.7901
near,Tiny ImageNet,MSP,0.80251893,0.7519
near,Tiny ImageNet,MaxLogit,0.8089551100000001,0.7515
near,Tiny ImageNet,Energy,0.80774559,0.7538
near,Tiny ImageNet,Mahalanobis,0.6456026600000001,0.9352
near,Tiny ImageNet,ViM,0.754653165,0.8528
near,Tiny ImageNet,NECO,0.80934131,0.7446
far,MNIST,MSP,0.6768588900000001,0.9006
far,MNIST,MaxLogit,0.7144787349999999,0.8914
far,MNIST,Energy,0.720692405,0.884
far,MNIST,Mahalanobis,0.55337104,0.9904
far,MNIST,ViM,0.6839959700000001,0.9516
far,MNIST,NECO,0.7211761499999999,0.8832
far,SVHN,MSP,0.83604247,0.7363
far,SVHN,MaxLogit,0.866192395,0.6983
far,SVHN,Energy,0.87373203,0.6608
far,SVHN,Mahalanobis,0.7010278000000001,0.9065
far,SVHN,ViM,0.8107036150000001,0.7851
far,SVHN,NECO,0.8775739300000001,0.6445
far,Textures,MSP,0.7755078655500227,0.8175531914893617
far,Textures,MaxLogit,0.7868240719782708,0.8202127659574469
far,Textures,Energy,0.7867307039384336,0.825
far,Textures,Mahalanobis,0.7572340425531914,0.7515957446808511
far,Textures,ViM,0.8371944318696243,0.6728723404255319
far,Textures,NECO,0.7938688320507017,0.8132978723404255
